date;var;cvar
2012-12-04;-0.0;-0.0
2012-12-05;-0.0;-0.0
2012-12-06;-0.0;-0.0
2012-12-07;-0.0;-0.0
2012-12-10;-0.0;-0.0
2012-12-11;-0.0;-0.0
2012-12-12;-0.0;-0.0
2012-12-13;-0.0;-0.0
2012-12-14;-0.0;-0.0
2012-12-17;-0.0;-0.0
2012-12-18;-0.0;-0.0
2012-12-19;-0.0;-0.0
2012-12-20;-0.0;-0.0
2012-12-21;-0.0;-0.0
2012-12-24;-0.0;-0.0
2012-12-25;2880529956976142.0;2784163148292885.5
2012-12-26;2815570605914668.0;2660006736191472.0
2012-12-27;-0.011471641973194443;-0.011498027091581335
2012-12-28;944401079233184.8;525045173571574.75
2013-01-08;1191447837674526.0;1020688332573243.8
2013-01-09;-0.015415560546539144;-0.021826683070306198
2013-01-10;-0.01322588880221786;-0.018997830343300895
2013-01-11;-0.00555778307192575;-0.009223950022830357
2013-01-14;-0.010798845567455433;-0.016897023978685914
2013-01-15;-0.007124089210193543;-0.011446332082273011
2013-01-16;-0.009782566725883998;-0.015151187646919303
2013-01-17;-0.008549820154539324;-0.013479629351264203
2013-01-18;-0.00941968569188842;-0.01471310419038077
2013-01-21;-0.008858784275175826;-0.013896199658194244
2013-01-22;-0.009298477891581534;-0.01463417472723957
2013-01-23;-0.00897423126452282;-0.013954726478311263
2013-01-24;-0.009104800404198986;-0.01431774635940462
2013-01-25;-0.008994720366474702;-0.013959155060726593
2013-01-28;-0.009083179454276996;-0.014090488803905349
2013-01-29;-0.00892166456987132;-0.014055137989236108
2013-01-30;-0.009354247147883505;-0.015052650253095606
2013-01-31;-0.009128150010082535;-0.014317354198915678
2013-02-01;-0.008987261521991165;-0.013882974073628124
2013-02-04;-0.009162515925894616;-0.014161893680893245
2013-02-05;-0.009132951416166287;-0.014241566095838662
2013-02-06;-0.009194190101017885;-0.014339705525490985
2013-02-07;-0.009203166188945478;-0.014324378262625458
2013-02-08;-0.009249370495913586;-0.01442981514024284
2013-02-11;-0.009035307373229827;-0.013951416756442011
2013-02-12;-0.009251419615415597;-0.014570403520910933
2013-02-13;-0.00918629658006946;-0.014312615889858743
2013-02-14;-0.009179132532090711;-0.014307478663256832
2013-02-15;-0.009175223626047098;-0.014265405838959681
2013-02-18;-0.009038808862324506;-0.013931623098720664
2013-02-19;-0.009016864591254803;-0.013954051159002705
2013-02-20;-0.008958415154023054;-0.013840872640346084
2013-02-21;-0.009070121693080316;-0.013972587485117444
2013-02-22;-0.009176001951957202;-0.014088739929224041
2013-02-25;-0.009034365112628243;-0.013895112579591015
2013-02-26;-0.009028558366730118;-0.013983255339210012
2013-02-27;-0.009082964504597318;-0.013910519015675742
2013-02-28;-0.009028319733700699;-0.013887919647031743
2013-03-01;-0.00911223126755155;-0.014033852250440279
2013-03-04;-0.0090330720300089;-0.013901194176154407
2013-03-05;-0.008889091731630456;-0.013719588198956516
2013-03-06;-0.008678199128801394;-0.013253051615017665
2013-03-07;-0.008893466767629303;-0.013672619852108438
2013-03-11;-0.008685566871633911;-0.013348390793171766
2013-03-12;-0.008772236545333077;-0.013451652755866622
2013-03-13;-0.00874848157721339;-0.01334027429560885
2013-03-14;-0.008786719505641853;-0.013418855463538541
2013-03-15;-0.008881518638848264;-0.013728285538887178
2013-03-18;-0.008776073406999433;-0.013501814151826459
2013-03-19;-0.008724764692876166;-0.013344838189290165
2013-03-20;-0.008805676605510066;-0.013650210417143163
2013-03-21;-0.008834486495506211;-0.013727115490876456
2013-03-22;-0.008783551002770937;-0.013576337832030728
2013-03-25;-0.008797030077140576;-0.013444058899456077
2013-03-26;-0.008899889928322802;-0.013569141084660653
2013-03-27;-0.009032751206443475;-0.013923659370678347
2013-03-28;-0.009100923044511338;-0.01413889967769821
2013-03-29;-0.008867379532348483;-0.013619793483812299
2013-04-01;-0.008865126394475027;-0.01344602315336027
2013-04-02;-0.008832228740181124;-0.013434012616954625
2013-04-03;-0.008882385367140753;-0.013568344709897212
2013-04-04;-0.008711401309284161;-0.013312920909265136
2013-04-05;-0.008738137206640144;-0.013590030606334229
2013-04-08;-0.008574780930552655;-0.013080846241740822
2013-04-09;-0.008687846112498567;-0.013343607216765493
2013-04-10;-0.008693844201819899;-0.013416619658175446
2013-04-11;-0.008681100642810644;-0.013303184344975322
