Date,AAPL,ABBV,ABT,ACN,ADBE,ADI,ADP,AMAT,AMD,AMGN,AMZN,APH,AVGO,AXP,BA,BAC,BKNG,BLK,BRK-B,BSX,C,CAT,CB,CDNS,CI,COP,COST,CRM,CSCO,CVX,DE,DHR,DIS,DUK,ELV,EQIX,ETN,GE,GILD,GOOG,GOOGL,GS,HD,HON,IBM,ICE,INTU,ISRG,JNJ,JPM,KLAC,KO,LIN,LLY,LMT,LOW,LRCX,MA,MCD,MCO,MDT,META,MO,MRK,MSFT,MU,NEE,NFLX,NKE,NOW,NVDA,ORCL,PANW,PEP,PFE,PG,PGR,PLD,PM,QCOM,REGN,RTX,SBUX,SCHW,SHW,SNPS,SO,SPGI,SYK,T,TJX,TMO,TXN,UBER,UNH,UNP,UPS,V,VRTX,VZ,WFC,WM,WMT,XOM,ZTS
2020-01-02,72.40052795410156,68.69625091552734,77.32872009277344,190.89613342285156,334.42999267578125,107.79166412353516,148.65557861328125,58.69947052001953,49.099998474121094,198.23382568359375,94.90049743652344,25.756000518798828,27.677486419677734,116.0132827758789,331.34857177734375,30.587553024291992,81.46139526367188,437.7598571777344,228.38999938964844,45.33000183105469,64.97232818603516,132.31288146972656,141.3421173095703,71.44000244140625,186.42343139648438,52.157875061035156,266.1339111328125,164.57379150390625,40.254215240478516,92.0177230834961,162.4123992919922,133.6821746826172,144.79026794433594,70.55159759521484,275.6984558105469,515.4581909179688,85.77101135253906,57.74748611450195,51.442813873291016,67.81175994873047,67.8730239868164,202.11892700195312,188.72764587402344,149.62416076660156,99.44673919677734,85.54884338378906,254.7364044189453,199.086669921875,122.63822174072266,118.43031311035156,169.7014923095703,45.432708740234375,192.738037109375,122.79312896728516,337.6092224121094,107.4747543334961,27.715734481811523,292.3960876464844,173.79388427734375,229.43035888671875,95.58084106445312,208.14657592773438,30.01742172241211,72.09337615966797,152.158447265625,54.02114486694336,51.08596420288086,32.98099899291992,93.65167236328125,58.24800109863281,5.970754623413086,49.14957046508789,39.23500061035156,112.11241149902344,27.49484634399414,105.5240249633789,61.113136291503906,74.28076934814453,62.20467758178711,77.15104675292969,370.84466552734375,83.2618637084961,77.72052764892578,44.220489501953125,180.3248748779297,142.8699951171875,49.28293991088867,263.7113952636719,196.88661193847656,18.787166595458984,56.92048645019531,321.02105712890625,108.4878921508789,30.989999771118164,263.1968688964844,158.72994995117188,90.68399810791016,182.80921936035156,219.4499969482422,41.978824615478516,45.82716751098633,103.18372344970703,36.35921096801758,53.306419372558594,126.42227172851562
2020-01-03,71.69662475585938,68.0441665649414,76.38603210449219,190.57823181152344,331.80999755859375,105.89413452148438,148.34133911132812,57.765174865722656,48.599998474121094,196.8880157470703,93.74849700927734,25.4871883392334,26.9735164642334,114.8609848022461,330.7919006347656,29.95246696472168,81.10408020019531,433.1068115234375,226.17999267578125,44.97999954223633,63.748531341552734,130.47576904296875,141.12472534179688,70.41999816894531,184.82241821289062,52.3491096496582,266.3529968261719,163.76565551757812,39.597450256347656,91.69945526123047,161.20938110351562,132.85475158691406,143.12937927246094,70.59844207763672,272.0423278808594,520.5919189453125,85.13579559326172,57.941104888916016,51.3166389465332,67.47899627685547,67.51795959472656,199.7554473876953,188.10044860839844,148.02687072753906,98.65365600585938,87.39520263671875,253.03269958496094,197.77999877929688,121.21837615966797,116.86750030517578,166.4574737548828,45.184852600097656,187.7261505126953,122.38448333740234,349.7569580078125,106.70747375488281,27.417997360229492,289.5433654785156,173.17935180664062,228.86090087890625,95.01349639892578,207.04522705078125,30.24904441833496,71.4745864868164,150.26376342773438,53.18241500854492,51.449920654296875,32.59000015258789,93.39509582519531,58.220001220703125,5.875186920166016,48.97649002075195,39.4716682434082,111.95557403564453,27.347328186035156,104.81431579589844,61.104915618896484,75.11265563964844,62.08786392211914,75.69831085205078,366.6828308105469,83.37604522705078,77.2681884765625,43.10191345214844,177.99136352539062,141.75999450683594,49.235713958740234,262.8286437988281,196.08201599121094,18.88385772705078,56.49612045288086,317.5292663574219,107.04774475097656,31.3700008392334,260.53338623046875,157.60653686523438,90.62963104248047,181.3553924560547,217.97999572753906,41.5318717956543,45.54581832885742,104.18645477294922,36.03822708129883,52.877845764160156,126.44110107421875
2020-01-06,72.2679443359375,68.58116912841797,76.7862319946289,189.333740234375,333.7099914550781,104.6500244140625,148.54208374023438,56.51946258544922,48.38999938964844,198.39895629882812,95.14399719238281,25.35513687133789,26.933164596557617,114.36320495605469,331.7660827636719,29.909547805786133,80.39414978027344,433.4766540527344,226.99000549316406,45.349998474121094,63.54859161376953,130.38790893554688,142.2843017578125,70.8499984741211,188.22454833984375,52.970611572265625,266.42608642578125,170.94032287597656,39.73876953125,91.38876342773438,162.36648559570312,133.25120544433594,142.29893493652344,70.94208526611328,275.313720703125,520.0225830078125,85.29681396484375,58.76400375366211,51.774044036865234,69.1428451538086,69.31759643554688,201.7997283935547,188.98541259765625,146.90957641601562,98.47740173339844,87.42288208007812,254.9756317138672,198.586669921875,121.0671615600586,116.7745361328125,162.7115478515625,45.1683235168457,186.93045043945312,122.83954620361328,349.2244567871094,107.3766098022461,26.906280517578125,290.3143615722656,175.12689208984375,229.57275390625,95.85616302490234,210.94464111328125,30.370935440063477,71.78006744384766,150.6521759033203,52.246124267578125,51.706825256347656,33.58300018310547,93.31261444091797,58.57400131225586,5.899824619293213,49.231563568115234,40.043331146240234,112.38477325439453,27.31220054626465,104.95967102050781,62.21487045288086,74.81855010986328,62.81074523925781,75.2546615600586,369.2454528808594,83.55548095703125,76.65930938720703,43.40447998046875,177.6634063720703,141.97999572753906,49.43247985839844,264.850341796875,198.5425262451172,18.903196334838867,56.85591506958008,319.8112487792969,106.30255126953125,31.579999923706055,262.342041015625,156.25668334960938,90.22588348388672,180.96316528320312,224.02999877929688,41.44247817993164,45.27298355102539,104.72850799560547,35.964866638183594,53.28385543823242,125.47039031982422
2020-01-07,71.92807006835938,68.18993377685547,76.35933685302734,185.24603271484375,333.3900146484375,107.0308609008789,146.74412536621094,58.152095794677734,48.25,196.53302001953125,95.34300231933594,25.491905212402344,26.840450286865234,113.76400756835938,335.28515625,29.712160110473633,81.20498657226562,436.24615478515625,225.9199981689453,45.400001525878906,62.996681213378906,128.66513061523438,139.439697265625,71.06999969482422,189.143310546875,52.970611572265625,266.00604248046875,173.45343017578125,39.481056213378906,90.22176361083984,159.54725646972656,134.56121826171875,142.3477783203125,70.49691009521484,274.4798278808594,517.70947265625,84.84947967529297,58.32835388183594,51.356056213378906,69.09969329833984,69.18370056152344,203.12811279296875,187.7481689453125,146.9923095703125,98.54348754882812,87.17362976074219,255.03302001953125,194.26666259765625,121.80646514892578,114.78929901123047,164.00352478027344,44.82132339477539,187.33285522460938,123.07177734375,350.3994140625,106.73422241210938,27.562211990356445,289.3311767578125,175.3865509033203,228.7469482421875,95.5224380493164,211.40103149414062,30.212465286254883,69.86883544921875,149.27853393554688,56.82998275756836,51.661865234375,33.07500076293945,93.26680755615234,58.582000732421875,5.97125244140625,49.340885162353516,40.27333450317383,110.61834716796875,27.220876693725586,104.30980682373047,61.73966979980469,74.339599609375,63.088218688964844,77.39457702636719,370.62615966796875,83.2890396118164,76.42444610595703,43.661197662353516,176.70164489746094,142.9600067138672,49.28293991088867,266.69171142578125,196.11007690429688,18.9757080078125,56.81900405883789,321.6211242675781,108.35394287109375,32.810001373291016,260.7583923339844,155.0723419189453,90.07059478759766,180.4849395751953,223.7899932861328,40.981773376464844,44.89783477783203,104.80076599121094,35.63166809082031,52.8477783203125,125.89453125
2020-01-08,73.08511352539062,68.67324829101562,76.67061614990234,185.60935974121094,337.8699951171875,107.99754333496094,148.12315368652344,58.11436080932617,47.83000183105469,196.68165588378906,94.59850311279297,25.55320930480957,26.505626678466797,115.72750854492188,329.41009521484375,30.012535095214844,81.00276947021484,436.1428527832031,225.99000549316406,45.63999938964844,63.476593017578125,129.8077850341797,138.4884796142578,72.27999877929688,192.3088836669922,51.74354553222656,269.0556335449219,174.76416015625,39.506004333496094,89.19119262695312,161.53077697753906,134.69908142089844,142.05470275878906,70.59844207763672,281.7555847167969,519.4174194335938,85.10896301269531,57.795902252197266,51.892330169677734,69.64423370361328,69.67613220214844,205.08615112304688,190.55767822265625,147.11648559570312,99.36597442626953,86.40741729736328,261.1679382324219,193.92666625976562,121.78968048095703,115.68477630615234,164.21731567382812,44.90394592285156,189.67417907714844,124.18629455566406,347.4660949707031,108.42938995361328,27.90925407409668,294.4364013671875,178.22552490234375,233.132080078125,97.1994400024414,213.54421997070312,30.52330780029297,69.39888763427734,151.6563262939453,56.0985221862793,51.63832092285156,33.92599868774414,93.05604553222656,59.130001068115234,5.98245096206665,49.533058166503906,39.76166534423828,111.18789672851562,27.438642501831055,104.75445556640625,62.104576110839844,74.74293518066406,64.28572845458984,77.16841125488281,379.8538818359375,83.41410827636719,77.31169128417969,43.92708969116211,179.5144500732422,145.86000061035156,49.26719284057617,270.5167541503906,197.11119079589844,19.033727645874023,57.12343978881836,322.1325988769531,108.64698028564453,33.93000030517578,266.2562255859375,156.7705535888672,90.58303833007812,183.57444763183594,231.08999633789062,41.05742263793945,45.03424835205078,104.8639907836914,35.50938415527344,52.050819396972656,125.6211929321289
2020-01-09,74.63751220703125,69.20256042480469,76.87515258789062,187.2626190185547,340.45001220703125,107.99754333496094,149.4323272705078,58.4824104309082,48.970001220703125,197.267822265625,95.05249786376953,25.64280891418457,26.292720794677734,117.82008361816406,334.3507080078125,30.06403350830078,81.8426742553711,441.3033752441406,228.64999389648438,45.709999084472656,64.05248260498047,129.4825439453125,139.46685791015625,73.36000061035156,191.7994842529297,52.6439208984375,273.3741760253906,177.0013427734375,39.3397331237793,89.0472183227539,163.09190368652344,135.88848876953125,141.49781799316406,70.77027893066406,280.7750549316406,524.0350952148438,85.16261291503906,57.650672912597656,51.92388153076172,70.41340637207031,70.40758514404297,209.2610626220703,193.47889709472656,148.20065307617188,100.41609191894531,87.17362976074219,263.6131591796875,195.26333618164062,122.15095520019531,116.107177734375,163.1205291748047,45.72188186645508,191.0094757080078,126.2388687133789,350.7629089355469,108.89336395263672,27.71944808959961,298.296630859375,180.3374786376953,236.1978759765625,98.77630615234375,216.60023498535156,30.821956634521484,70.00983428955078,153.55096435546875,55.89371109008789,52.04295349121094,33.566001892089844,92.99189758300781,59.86199951171875,6.048154354095459,49.761837005615234,40.01166534423828,111.26220703125,27.31922149658203,105.90025329589844,62.7409553527832,74.7513427734375,64.46097564697266,78.21229553222656,380.89678955078125,83.5391616821289,78.74691009521484,44.11046600341797,178.36343383789062,148.6699981689453,49.7866325378418,274.85430908203125,197.99053955078125,19.092029571533203,57.78767013549805,324.20794677734375,109.96150970458984,33.970001220703125,264.7445983886719,155.96934509277344,90.79270935058594,184.84661865234375,230.25999450683594,40.88719940185547,44.957515716552734,104.90916442871094,35.8762092590332,52.44929504394531,127.28935241699219
2020-01-10,74.80623626708984,68.32035064697266,75.9146728515625,188.63427734375,339.80999755859375,106.12684631347656,149.3275604248047,58.01054382324219,48.16999816894531,196.71463012695312,94.15799713134766,25.54142189025879,25.688325881958008,117.33149719238281,327.96868896484375,29.81515121459961,81.94515991210938,440.5120849609375,226.6199951171875,45.66999816894531,63.38861083984375,128.4453887939453,136.78530883789062,73.02999877929688,191.28099060058594,52.125999450683594,271.3838195800781,177.5926513671875,39.181766510009766,88.23637390136719,159.2625732421875,136.27633666992188,141.29263305664062,70.62970733642578,281.9937438964844,528.4926147460938,84.9747543334961,56.48894500732422,51.285091400146484,70.90438842773438,70.8623275756836,208.83839416503906,192.64549255371094,147.8778839111328,100.3793716430664,87.00745391845703,263.9488525390625,199.57333374023438,121.87364959716797,114.9498291015625,160.81532287597656,45.87886428833008,191.2198028564453,128.17071533203125,349.8331298828125,107.95655822753906,27.385438919067383,300.2942810058594,179.40267944335938,235.41958618164062,98.98489379882812,216.36209106445312,30.608646392822266,70.12732696533203,152.84046936035156,55.26951217651367,52.14142990112305,32.904998779296875,92.46041107177734,59.7760009765625,6.080507755279541,49.82589340209961,39.64500045776367,111.04754638671875,27.74070930480957,106.00286102294922,62.537330627441406,75.15467071533203,63.862213134765625,78.51677703857422,378.8505859375,82.56592559814453,78.42509460449219,43.82624053955078,178.8238067626953,148.4600067138672,50.1014404296875,274.2469177246094,196.13819885253906,18.978851318359375,57.51091003417969,323.3424377441406,108.8479232788086,34.0099983215332,265.5634765625,154.9591522216797,89.96965026855469,185.34402465820312,228.9499969482422,40.984474182128906,44.76142501831055,104.97238159179688,35.57664108276367,51.98313903808594,127.77002716064453
2020-01-13,76.40442657470703,67.90609741210938,75.70124053955078,190.38748168945312,345.6300048828125,106.56543731689453,150.43603515625,58.3314208984375,48.75,195.60830688476562,94.56500244140625,25.727703094482422,25.856603622436523,118.49301147460938,328.26690673828125,30.08977699279785,81.69386291503906,449.9126892089844,228.4499969482422,45.470001220703125,64.5083999633789,129.05186462402344,136.70379638671875,73.38999938964844,185.12265014648438,51.894935607910156,273.784912109375,181.18984985351562,39.88011169433594,88.4030990600586,160.46551513671875,137.5260467529297,140.56967163085938,71.25444793701172,271.9140625,529.3468017578125,84.86738586425781,58.66718292236328,50.717262268066406,71.37550354003906,71.4112777709961,211.5123748779297,191.889404296875,150.02139282226562,100.31328582763672,87.72753143310547,264.7063903808594,201.0399932861328,122.41136169433594,115.90442657470703,162.7580108642578,46.374576568603516,193.7074737548828,129.04379272460938,354.220458984375,108.00116729736328,27.65990447998047,304.1930236816406,178.74485778808594,238.7036590576172,98.45928192138672,220.18211364746094,30.937767028808594,70.11165618896484,154.67823791503906,56.03023910522461,52.7515869140625,33.891998291015625,93.61500549316406,60.77000045776367,6.27114725112915,49.944847106933594,40.1533317565918,112.69845581054688,27.68450164794922,106.78096771240234,63.57251739501953,77.13773345947266,64.12508392333984,79.13438415527344,376.3872375488281,82.66924285888672,79.225341796875,44.027957916259766,181.27398681640625,149.92999267578125,50.794010162353516,279.2773742675781,193.55606079101562,18.74758529663086,57.676971435546875,326.5784606933594,108.80604553222656,34.13999938964844,257.21307373046875,156.66603088378906,90.65293884277344,186.836181640625,226.49000549316406,41.09563064575195,44.42890167236328,106.29132080078125,35.42379379272461,52.479366302490234,128.6559295654297
2020-01-14,75.3727035522461,68.57475280761719,76.57647705078125,188.69784545898438,344.6300048828125,106.9861068725586,149.4497528076172,58.84101867675781,48.209999084472656,198.15126037597656,93.47200012207031,25.819665908813477,26.45755386352539,118.7326889038086,330.3843078613281,30.31291961669922,81.33967590332031,445.7929992675781,227.1699981689453,42.65999984741211,65.51622772216797,128.9287872314453,136.57693481445312,72.61000061035156,186.65086364746094,51.90290832519531,273.67547607421875,179.48487854003906,39.73046875,88.13029479980469,159.4829559326172,139.09458923339844,141.85931396484375,71.3012924194336,272.0423278808594,521.8198852539062,84.18742370605469,58.23154067993164,50.63051223754883,70.96141815185547,70.94316101074219,211.90054321289062,191.4340362548828,149.3427734375,99.74048614501953,86.56433868408203,261.4842834472656,200.89666748046875,123.10031127929688,117.256103515625,164.97023010253906,46.26716232299805,192.02464294433594,130.63197326660156,351.78582763671875,107.1268081665039,27.98275375366211,299.78277587890625,179.44598388671875,236.74835205078125,97.64998626708984,217.3543243408203,31.004802703857422,70.44064331054688,153.58885192871094,56.0985221862793,53.036312103271484,33.86899948120117,94.31145477294922,60.29999923706055,6.154175281524658,50.219364166259766,40.0,112.962646484375,28.148141860961914,106.61851501464844,63.00400161743164,76.15459442138672,63.949832916259766,78.77776336669922,385.0189208984375,82.39192962646484,79.14704132080078,43.743717193603516,181.15103149414062,148.19000244140625,51.093082427978516,275.41436767578125,194.5570526123047,18.742664337158203,57.861473083496094,327.345703125,109.4089126586914,34.84000015258789,259.3636474609375,157.44981384277344,91.05669403076172,187.52490234375,229.75,41.01920700073242,42.03310012817383,106.66171264648438,35.51548767089844,52.028236389160156,129.37217712402344
2020-01-15,75.04971313476562,69.39888000488281,78.04122924804688,188.9988250732422,342.94000244140625,105.17809295654297,150.8287811279297,58.44466018676758,48.54999923706055,199.55479431152344,93.10099792480469,25.633384704589844,26.024866104125977,119.6729965209961,327.8493957519531,29.755064010620117,81.09150695800781,456.06219482421875,228.35000610351562,42.56999969482422,64.98031616210938,127.95311737060547,137.05714416503906,71.94000244140625,189.4162139892578,51.79136276245117,274.6523132324219,178.44020080566406,39.913360595703125,88.00145721435547,158.7942352294922,138.58612060546875,140.9995574951172,72.23063659667969,276.3215637207031,521.5884399414062,84.0085220336914,57.45705032348633,50.55164337158203,71.37400817871094,71.37013244628906,211.5123748779297,192.96339416503906,149.574462890625,100.3280029296875,88.41065979003906,261.7911682128906,199.0800018310547,123.51197814941406,115.49891662597656,165.3791961669922,46.84550476074219,193.37820434570312,131.05921936035156,355.8519287109375,106.63607788085938,27.757598876953125,303.2665710449219,181.56654357910156,240.1653289794922,97.89192962646484,219.42803955078125,31.236406326293945,71.70175170898438,154.58352661132812,54.78187561035156,53.860557556152344,33.90700149536133,94.19232940673828,60.9739990234375,6.111617088317871,50.10955810546875,40.116668701171875,114.90242767333984,28.56963539123535,107.7044448852539,64.25135803222656,77.48225402832031,64.49018096923828,78.0035400390625,388.1279296875,82.62030792236328,79.62547302246094,43.202762603759766,184.33273315429688,147.91000366210938,51.612510681152344,279.4102478027344,193.42507934570312,18.634410858154297,57.01274871826172,329.7063903808594,108.15296173095703,35.0099983215332,266.7151184082031,157.44981384277344,91.56917572021484,191.11180114746094,234.14999389648438,41.060890197753906,41.19755935668945,106.79722595214844,35.24037551879883,51.94554901123047,130.569091796875
