Date;AAPL;BA;JNJ;JPM;PG;XOM
2014-01-02;17.14066505432129;116.80794525146484;64.8702392578125;42.197696685791016;57.01864242553711;60.11762619018555
2014-01-03;16.7641544342041;117.61988067626953;65.4545669555664;42.52391052246094;56.95493698120117;59.97298049926758
2014-01-06;16.855571746826172;118.29508209228516;65.79664611816406;42.77039337158203;57.08945846557617;60.06340026855469
2014-01-07;16.735017776489258;120.08985137939453;67.19340515136719;42.27745819091797;57.641658782958984;60.913150787353516
2014-01-08;16.841001510620117;120.35485076904297;67.1007308959961;42.676151275634766;56.8062858581543;60.71428680419922
2014-01-09;16.625944137573242;121.47447204589844;67.50691223144531;42.59641647338867;56.93369674682617;60.12367248535156
2014-01-10;16.515005111694336;121.27790832519531;67.51404571533203;42.40068054199219;56.84877014160156;60.58167266845703
2014-01-13;16.601465225219727;120.25225067138672;67.343017578125;41.82801818847656;56.64345932006836;59.394412994384766
2014-01-14;16.93179702758789;119.66255950927734;67.49982452392578;41.856990814208984;57.25230407714844;59.737953186035156
2014-01-15;17.27174186706543;120.18389892578125;67.55681610107422;43.12560272216797;57.195640563964844;59.533016204833984
2014-01-16;17.175376892089844;119.83348846435547;67.44278717041016;42.76313781738281;57.03281784057617;59.62946319580078
2014-01-17;16.754554748535156;120.04713439941406;67.74211883544922;42.12519836425781;56.551429748535156;59.76206588745117
2014-01-21;17.014846801757812;121.08126831054688;67.00811767578125;42.16871643066406;56.76380920410156;59.36429214477539
2014-01-22;17.09046173095703;123.388916015625;67.21475982666016;41.748252868652344;56.51556396484375;58.99060821533203
2014-01-23;17.23517608642578;120.77363586425781;66.08880615234375;40.936336517333984;55.809391021728516;58.44218444824219
2014-01-24;16.92188262939453;116.79085540771484;64.57093048095703;39.93594741821289;56.47989273071289;57.164493560791016
2014-01-27;17.059165954589844;117.39767456054688;64.09346771240234;39.93594741821289;55.973453521728516;57.206668853759766
2014-01-28;15.69567584991455;117.16690063476562;64.20747375488281;40.40715408325195;56.42998123168945;57.64663314819336
2014-01-29;15.517484664916992;110.91927337646484;63.35233688354492;40.254913330078125;55.381404876708984;57.32118606567383
2014-01-30;15.487421989440918;108.14158630371094;63.7799072265625;40.59562683105469;54.83217239379883;56.646183013916016
2014-01-31;15.512835502624512;107.05615234375;63.0459098815918;40.131683349609375;54.65383529663086;55.54328536987305
2014-02-03;15.54164981842041;105.19295501708984;61.84157180786133;39.37050247192383;53.997589111328125;54.271629333496094
2014-02-04;15.766633033752441;104.30412292480469;61.72753143310547;39.83446502685547;54.275779724121094;54.2535285949707
2014-02-05;15.884395599365234;103.7571029663086;62.197879791259766;40.02294158935547;54.53256607055664;53.988346099853516
2014-02-06;15.976969718933105;104.84255981445312;63.24543762207031;40.9435920715332;54.853553771972656;54.5042610168457
2014-02-07;16.200498580932617;108.56037902832031;64.16473388671875;41.04508590698242;55.145992279052734;54.9776725769043
2014-02-10;16.4907283782959;108.6800308227539;64.89872741699219;41.13207244873047;55.659584045410156;54.33430862426758
2014-02-11;16.7080078125;111.24403381347656;66.25273132324219;41.63225555419922;56.23735809326172;55.135494232177734
2014-02-12;16.706758499145508;110.126708984375;65.86076354980469;41.697509765625;55.27438735961914;55.281150817871094
2014-02-13;16.972047805786133;111.30419158935547;65.9605484008789;42.06721496582031;55.495540618896484;55.49357604980469
2014-02-14;16.95833396911621;111.87146759033203;66.1030502319336;42.15421676635742;56.636817932128906;57.120216369628906
2014-02-18;17.02067756652832;112.27542877197266;65.68262481689453;42.40068054199219;55.61679458618164;57.09593200683594
2014-02-19;16.7519588470459;110.35017395019531;65.30493927001953;41.5090217590332;55.738067626953125;57.02311325073242
2014-02-20;16.558063507080078;111.35576629638672;65.83224487304688;41.741004943847656;55.581138610839844;57.88497543334961
2014-02-21;16.374126434326172;110.25562286376953;65.68870544433594;41.762760162353516;55.61679458618164;57.67861557006836
2014-02-24;16.445838928222656;111.38153839111328;65.39444732666016;42.06721496582031;55.538352966308594;58.534400939941406
2014-02-25;16.27469253540039;108.96636962890625;65.39444732666016;41.3422966003418;55.72379684448242;58.45552444458008
2014-02-26;16.127859115600586;108.82026672363281;65.39444732666016;41.139320373535156;55.538352966308594;58.13990020751953
2014-02-27;16.449573516845703;110.49626159667969;65.57388305664062;41.0958251953125;55.77375030517578;58.170223236083984
2014-02-28;16.404993057250977;110.80567169189453;66.11935424804688;41.19005584716797;56.108985900878906;58.43122863769531
2014-03-03;16.452381134033203;110.20404815673828;65.71741485595703;40.747859954833984;55.26727294921875;57.96389389038086
2014-03-04;16.56085968017578;111.931640625;66.99501037597656;41.5090217590332;55.959190368652344;58.582969665527344
2014-03-05;16.59577751159668;110.6939468383789;66.45671844482422;42.161460876464844;55.50981521606445;56.93205642700195
2014-03-06;16.545589447021484;110.75411224365234;66.67204284667969;42.69790267944336;55.680992126464844;56.907798767089844
2014-03-07;16.535926818847656;110.47909545898438;66.98067474365234;43.06034851074219;55.909244537353516;57.65433120727539
2014-03-10;16.550886154174805;109.06092834472656;67.0739974975586;42.91538619995117;56.01626205444336;57.96389389038086
2014-03-11;16.712066650390625;108.0123519897461;67.10272216796875;42.18320846557617;56.315853118896484;57.05951690673828
2014-03-12;16.728261947631836;106.94656372070312;67.18164825439453;41.98747253417969;56.522705078125;57.180912017822266
2014-03-13;16.542476654052734;104.76348876953125;66.75098419189453;41.625003814697266;56.48703384399414;56.83495330810547
2014-03-14;16.35668182373047;105.81204986572266;66.61463165283203;41.17556381225586;56.33723831176758;56.73175811767578
2014-03-17;16.42058563232422;107.79747772216797;67.4184799194336;41.741004943847656;56.950679779052734;57.24766540527344
2014-03-18;16.56584930419922;106.61139678955078;67.42566680908203;42.08897018432617;56.90074157714844;57.48439407348633
2014-03-19;16.561494827270508;105.06427764892578;67.17446899414062;42.262943267822266;56.194576263427734;56.88959503173828
