Datetime;BTC-USD;ETH-USD;BNB-USD;ADA-USD;XRP-USD;USDT-USD;DOGE-USD;USDC-USD;AVAX-USD;LINK-USD;MATIC-USD;ALGO-USD
2024-04-01 00:00:00;71113.7890625;3634.93017578125;607.261962890625;0.6499508619308472;0.6319863796234131;1.0003535747528076;0.21732595562934875;1.0001447200775146;53.61982345581055;19.25685691833496;1.0057823657989502;0.26841503381729126
2024-04-01 00:30:00;71158.453125;3624.143798828125;605.495849609375;0.6487064957618713;0.6308281421661377;1.0002890825271606;0.21825043857097626;1.0000590085983276;53.38663101196289;19.130224227905273;1.0003554821014404;0.2682443857192993
2024-04-01 01:00:00;71025.2578125;3616.697021484375;605.8748779296875;0.6492635607719421;0.6291502714157104;1.000427484512329;0.21674339473247528;1.0001330375671387;53.64994430541992;19.19083023071289;0.9997419118881226;0.26796475052833557
2024-04-01 01:30:00;70849.203125;3611.6455078125;604.6282958984375;0.6492636799812317;0.6302289962768555;1.0003271102905273;0.2166430801153183;1.0000821352005005;53.52580642700195;19.201547622680664;0.9996110200881958;0.26853612065315247
2024-04-01 02:00:00;70863.6328125;3610.384765625;603.1077270507812;0.6481432914733887;0.6291664838790894;1.0005196332931519;0.2158532440662384;1.0001481771469116;53.71821594238281;19.18347930908203;0.9999065399169922;0.26795005798339844
2024-04-01 02:30:00;70887.28125;3614.541259765625;599.8469848632812;0.6470902562141418;0.6295202374458313;1.0002816915512085;0.21639718115329742;1.0000905990600586;53.949832916259766;19.26137924194336;1.001541256904602;0.2687329649925232
2024-04-01 03:00:00;70673.8671875;3603.6884765625;597.627197265625;0.6460779309272766;0.6286842226982117;1.0004525184631348;0.21511341631412506;1.000181794166565;53.95250701904297;19.210512161254883;1.0016367435455322;0.26684683561325073
2024-04-01 03:30:00;70619.5625;3611.878173828125;598.8275756835938;0.6455422043800354;0.6275858283042908;1.0002140998840332;0.21616025269031525;1.0000141859054565;53.88555145263672;19.190643310546875;1.0000264644622803;0.2665141820907593
2024-04-01 04:00:00;70638.40625;3608.907470703125;596.1290283203125;0.6445739269256592;0.6268561482429504;1.0005505084991455;0.21498022973537445;1.0000916719436646;53.78404998779297;19.10590934753418;0.9960866570472717;0.2655499577522278
2024-04-01 04:30:00;70488.375;3603.32275390625;594.6200561523438;0.6461113691329956;0.6278713941574097;1.0007667541503906;0.21589967608451843;1.000404953956604;53.51472091674805;19.095739364624023;0.9967046976089478;0.26506516337394714
2024-04-01 05:00:00;70400.375;3592.31005859375;593.0047607421875;0.6448830962181091;0.6282013058662415;1.000368356704712;0.2165006697177887;1.000102162361145;53.271026611328125;19.043006896972656;0.9931235313415527;0.26344379782676697
2024-04-01 05:30:00;69357.3671875;3520.94677734375;580.0543212890625;0.6235637068748474;0.6071913838386536;1.000830054283142;0.20306551456451416;1.0002275705337524;51.3182258605957;18.39015769958496;0.9580045938491821;0.2534051239490509
2024-04-01 06:00:00;69379.6953125;3533.69921875;584.949462890625;0.6274804472923279;0.6123353838920593;1.000274658203125;0.2058611512184143;1.0000290870666504;51.83199691772461;18.561996459960938;0.9677676558494568;0.25680235028266907
2024-04-01 06:30:00;69653.15625;3545.791748046875;587.1970825195312;0.6287677884101868;0.6144528985023499;1.0006405115127563;0.20672276616096497;1.0003386735916138;52.07675552368164;18.62156105041504;0.9713623523712158;0.2578897476196289
2024-04-01 07:00:00;69745.6171875;3551.76708984375;587.6699829101562;0.629984974861145;0.614946186542511;1.0004643201828003;0.20722755789756775;1.0001558065414429;52.25187683105469;18.617412567138672;0.9728412628173828;0.2579047977924347
2024-04-01 07:30:00;69648.453125;3548.681640625;587.2464599609375;0.6315202713012695;0.6160330772399902;1.0005772113800049;0.20761899650096893;1.0002444982528687;52.31819534301758;18.66560173034668;0.9750151038169861;0.2594548463821411
2024-04-01 08:00:00;69419.2734375;3531.249755859375;582.5118408203125;0.6247512102127075;0.6108821034431458;1.0003681182861328;0.20301306247711182;1.0000269412994385;51.70521926879883;18.505104064941406;0.9672471880912781;0.25574931502342224
2024-04-01 08:30:00;69453.1796875;3536.7900390625;582.5939331054688;0.6307532787322998;0.6118002533912659;1.0006152391433716;0.20400826632976532;1.0001486539840698;51.784423828125;18.524425506591797;0.9678559899330139;0.25652989745140076
2024-04-01 09:00:00;69579.15625;3550.219970703125;585.7212524414062;0.631166398525238;0.6125683188438416;1.0004656314849854;0.20429064333438873;0.9999915957450867;51.98566436767578;18.58302116394043;0.9699799418449402;0.25812768936157227
2024-04-01 09:30:00;69463.5234375;3543.93115234375;583.825927734375;0.6309757828712463;0.6100161671638489;1.000665307044983;0.20340535044670105;1.000045657157898;51.833465576171875;18.489139556884766;0.9666734337806702;0.25561031699180603
2024-04-01 10:00:00;69374.3671875;3533.813720703125;582.7300415039062;0.6292778849601746;0.6085762977600098;1.0004879236221313;0.20335674285888672;1.0000548362731934;51.601436614990234;18.434715270996094;0.9634017944335938;0.2538398206233978
2024-04-01 10:30:00;69588.0390625;3548.678955078125;584.5657958984375;0.6314939856529236;0.6116914749145508;1.0004602670669556;0.20643895864486694;1.0000784397125244;51.924476623535156;18.47429847717285;0.9653216004371643;0.2549588084220886
2024-04-01 11:00:00;69647.2109375;3551.648193359375;586.2499389648438;0.6313360333442688;0.6115748882293701;1.0005717277526855;0.20630542933940887;1.0001220703125;52.78679656982422;18.446195602416992;0.9660550951957703;0.25524622201919556
