,BTC_close,ETH_close,BTC_log_ret,ETH_log_ret
2020-01-01 00:00:00+00:00,7178.45,128.78,,
2020-01-01 00:30:00+00:00,7177.02,128.87,-0.0001992271941955473,0.0006986221902624516
2020-01-01 01:00:00+00:00,7212.1,130.26,0.004875915900475278,0.010728308817955683
2020-01-01 01:30:00+00:00,7216.27,130.64,0.0005780278875723304,0.0029129955439541368
2020-01-01 02:00:00+00:00,7228.09,130.76,0.0016366253178907836,0.000918133193800271
2020-01-01 02:30:00+00:00,7242.85,130.85,0.0020399511183824145,0.0006880471201449541
2020-01-01 03:00:00+00:00,7237.15,130.48,-0.0007872928583453107,-0.0028316706633964906
2020-01-01 03:30:00+00:00,7225.01,130.2,-0.0016788644091156873,-0.0021482285382896063
2020-01-01 04:00:00+00:00,7222.23,130.19,-0.0003848485986683408,-7.680786516309518e-05
2020-01-01 04:30:00+00:00,7217.27,130.2,-0.0006870044246797688,7.680786516309358e-05
2020-01-01 05:00:00+00:00,7220.18,130.33,0.0004031182846564732,0.0009979657681596188
2020-01-01 05:30:00+00:00,7224.21,130.3,0.0005580021177172185,-0.0002302114118289584
2020-01-01 06:00:00+00:00,7233.71,130.75,0.001314158795624628,0.0034476188142327432
2020-01-01 06:30:00+00:00,7225.62,130.44,-0.0011190007896861517,-0.0023737520239139245
2020-01-01 07:00:00+00:00,7231.27,130.58,0.0007816342640302258,0.0010727148373692124
2020-01-01 07:30:00+00:00,7209.83,130.24,-0.0029693050740776886,-0.0026071635042572545
2020-01-01 08:00:00+00:00,7189.97,130,-0.002758373393001342,-0.00184445179864786
2020-01-01 08:30:00+00:00,7200.64,130.36,0.0014829116980171382,0.0027654035137784604
2020-01-01 09:00:00+00:00,7196.98,130.31,-0.0005084173743770549,-0.00038362681254627395
2020-01-01 09:30:00+00:00,7188.77,130.17,-0.0011414074193335975,-0.0010749386784456461
2020-01-01 10:00:00+00:00,7205.95,130.59,0.0023869874727982226,0.0032213557539469335
2020-01-01 10:30:00+00:00,7202,130.7,-0.0005483084129194586,0.0008419763978602415
2020-01-01 11:00:00+00:00,7222.83,131.7,0.002888077638151782,0.007621988119059182
2020-01-01 11:30:00+00:00,7197.2,130.74,-0.003554781368608762,-0.007315990564651685
2020-01-01 12:00:00+00:00,7211.23,131.05,0.0019474716446184575,0.0023683115848318072
2020-01-01 12:30:00+00:00,7225.59,131.61,0.0019893584232350374,0.004264074076816953
2020-01-01 13:00:00+00:00,7221.79,131.46,-0.000526046949361063,-0.0011403810108022165
2020-01-01 13:30:00+00:00,7221.2,131.68,-8.170053435315525e-05,0.0016721140933296068
2020-01-01 14:00:00+00:00,7231.37,132.2,0.001407362383107917,0.0039411904888262
2020-01-01 14:30:00+00:00,7221.43,131.96,-0.001375512228389586,-0.0018170810572051437
2020-01-01 15:00:00+00:00,7228.13,131.74,0.0009273639446694771,-0.0016685631478337382
2020-01-01 15:30:00+00:00,7234.19,132.08,0.0008380398656185977,0.002577516399325683
2020-01-01 16:00:00+00:00,7218.68,132.06,-0.0021462873400181336,-0.00015143484544735442
2020-01-01 16:30:00+00:00,7245.37,132.85,0.0036905334665223275,0.005964307439397044
2020-01-01 17:00:00+00:00,7244.73,132.69,-8.833617441104339e-05,-0.0012050916574774583
2020-01-01 17:30:00+00:00,7236.83,132.34,-0.001091042785951616,-0.0026412119644316123
2020-01-01 18:00:00+00:00,7236.28,131.81,-7.600301528349182e-05,-0.004012876859539135
2020-01-01 18:30:00+00:00,7240.67,132.04,0.0006064813561642696,0.001743415260617792
2020-01-01 19:00:00+00:00,7227.72,131.8,-0.0017901098129345333,-0.0018192849165852615
2020-01-01 19:30:00+00:00,7229.48,131.86,0.00024347729971142254,0.00045513161674681524
2020-01-01 20:00:00+00:00,7239.4,132.17,0.001371218996125802,0.0023482190845616566
2020-01-01 20:30:00+00:00,7236.73,132.18,-0.0003688831241880933,7.565727259156615e-05
2020-01-01 21:00:00+00:00,7229.84,132.06,-0.0009525409991394834,-0.0009082652758814559
2020-01-01 21:30:00+00:00,7233.17,131.78,0.0004604850662266728,-0.0021224992807514498
2020-01-01 22:00:00+00:00,7215.78,130.41,-0.002407096487514453,-0.01045053181686343
2020-01-01 22:30:00+00:00,7197.99,130.27,-0.002468474109606592,-0.001074113959337593
2020-01-01 23:00:00+00:00,7195.4,130.47,-0.00035988742442951343,0.0015340955681838434
2020-01-01 23:30:00+00:00,7200.85,130.77,0.0007571416529107267,0.0022967396407543566
2020-01-02 00:00:00+00:00,7198.69,130.37,-0.0003000095858898534,-0.00306349324372361
2020-01-02 00:30:00+00:00,7211.02,130.67,0.0017113464475337948,0.0022984993263672564
2020-01-02 01:00:00+00:00,7190.18,130.45,-0.0028942052810952868,-0.0016850494183173262
2020-01-02 01:30:00+00:00,7190.99,130.15,0.00011264730211189996,-0.002302380142162974
2020-01-02 02:00:00+00:00,7166.04,129.39,-0.003475652710437215,-0.005856532112713095
2020-01-02 02:30:00+00:00,7169.02,129.72,0.0004157638744347002,0.002547182111255816
2020-01-02 03:00:00+00:00,7157.64,129.3,-0.0015886469551735212,-0.00324299566130533
2020-01-02 03:30:00+00:00,7129.61,129.1,-0.003923783228074819,-0.0015479879252150999
2020-01-02 04:00:00+00:00,7145.01,129.55,0.0021576764880109917,0.0034796091555223253
2020-01-02 04:30:00+00:00,7142.21,129.55,-0.0003919586925725115,0.0
2020-01-02 05:00:00+00:00,7140.62,129.4,-0.00022264495293553325,-0.0011585249413188581
2020-01-02 05:30:00+00:00,7138.93,129.63,-0.0002367021380772178,0.001775856545151214
2020-01-02 06:00:00+00:00,7146.58,129.84,0.0010710154178967602,0.0016186845943842374
2020-01-02 06:30:00+00:00,7135.97,129.42,-0.001485729362292029,-0.003239993577215857
2020-01-02 07:00:00+00:00,7111.58,129.11,-0.003423749883325844,-0.0023981754424925467
2020-01-02 07:30:00+00:00,7110.57,129.26,-0.00014203197149494093,0.0011611256481219663
2020-01-02 08:00:00+00:00,7130.92,129.7,0.002857848982147116,0.0033982114876487898
2020-01-02 08:30:00+00:00,7154.36,130.21,0.003281702708880861,0.003924440418238854
2020-01-02 09:00:00+00:00,7145.17,129.67,-0.0012853571082777698,-0.004155770179844217
2020-01-02 09:30:00+00:00,7162.01,129.98,0.002354063872368186,0.002387830905409864
2020-01-02 10:00:00+00:00,7177.14,130.09,0.0021103071820839986,0.0008459261472649477
2020-01-02 10:30:00+00:00,7161.83,129.72,-0.002135440107334532,-0.0028482371743504395
2020-01-02 11:00:00+00:00,7149.51,129.58,-0.0017217120190477424,-0.00107983041730596
2020-01-02 11:30:00+00:00,7139.79,129.53,-0.0013604587347437538,-0.00038593647964671755
2020-01-02 12:00:00+00:00,7157.41,129.79,0.002464819533980944,0.0020052451575029526
2020-01-02 12:30:00+00:00,7158.29,129.96,0.0001229419450126859,0.001308951101232019
2020-01-02 13:00:00+00:00,7146.73,129.82,-0.001616216197722999,-0.001077835195577138
2020-01-02 13:30:00+00:00,7131.15,129.35,-0.0021823976926236737,-0.003626966973284322
2020-01-02 14:00:00+00:00,7133.19,129.41,0.00028602795697642834,0.00046375020154068537
2020-01-02 14:30:00+00:00,7135.59,129.37,0.00033639877027086436,-0.0003091429037680865
2020-01-02 15:00:00+00:00,7128,129.43,-0.0010642483016386987,0.00046367852453631106
2020-01-02 15:30:00+00:00,7130.98,129.59,0.00041798221799678687,0.0012354259929763802
2020-01-02 16:00:00+00:00,7119.18,129.38,-0.0016561221343517922,-0.0016218098314838372
2020-01-02 16:30:00+00:00,7052.32,127.6,-0.009435909548085302,-0.013853439705149845
2020-01-02 17:00:00+00:00,6950,126.79,-0.014614981127367092,-0.0063681963708328015
2020-01-02 17:30:00+00:00,6970.04,127.4,0.0028793040601826038,0.004799568598206372
2020-01-02 18:00:00+00:00,6965,127.33,-0.000723356405114349,-0.0005496015527188901
2020-01-02 18:30:00+00:00,6974.02,127.49,0.0012942088122441962,0.0012557885646867354
2020-01-02 19:00:00+00:00,6976.24,127.31,0.0003182736405972098,-0.0014128730764768193
