Date;BTC-USD;ETH-USD;BNB-USD;ADA-USD;XRP-USD;USDT-USD;SOL1-USD;DOGE-USD;USDC-USD;AVAX-USD;LUNA1-USD;LINK-USD;MATIC-USD;ALGO-USD
2020-01-11;8037.53759765625;142.92710876464844;14.946328163146973;0.03682500123977661;0.21185100078582764;1.0000909566879272;;0.0023139999248087406;1.0025290250778198;;0.20451000332832336;2.2832469940185547;0.014816000126302242;0.22708000242710114
2020-01-12;8192.494140625;145.87393188476562;15.322083473205566;0.037689998745918274;0.21563300490379333;1.002478003501892;;0.002380999969318509;1.0043179988861084;;0.2116979956626892;2.2451930046081543;0.015008999966084957;0.22730599343776703
2020-01-13;8144.1943359375;144.22659301757812;15.227272033691406;0.036965999752283096;0.21261699497699738;1.0033470392227173;;0.0023580000270158052;1.0043189525604248;;0.20117899775505066;2.192452907562256;0.01553099974989891;0.22844499349594116
2020-01-14;8827.7646484375;165.95535278320312;16.626121520996094;0.04165999963879585;0.23468700051307678;1.0018210411071777;;0.002469999948516488;1.0023709535598755;;0.19513800740242004;2.3899269104003906;0.015730999410152435;0.23072099685668945
2020-01-15;8807.0107421875;166.23068237304688;17.65481185913086;0.04255300015211105;0.23289500176906586;0.9996560215950012;;0.0023690001107752323;1.0011650323867798;;0.19576700031757355;2.4049770832061768;0.016367999836802483;0.24661700427532196
2020-01-16;8723.7861328125;164.39100646972656;17.076946258544922;0.041391000151634216;0.2285739928483963;0.9992309808731079;;0.0023449999280273914;1.002668023109436;;0.20424699783325195;2.4844789505004883;0.01607700064778328;0.2405090034008026
2020-01-17;8929.0380859375;170.7799530029297;18.13519859313965;0.04497800022363663;0.23877599835395813;1.002879023551941;;0.0024900001008063555;1.0045230388641357;;0.20616500079631805;2.724108934402466;0.018818000331521034;0.26248401403427124
2020-01-18;8942.80859375;175.3656768798828;17.82391929626465;0.04485100135207176;0.24328599870204926;1.0027409791946411;;0.002506999997422099;1.0053199529647827;;0.20326900482177734;2.7741050720214844;0.01751900091767311;0.2602820098400116
2020-01-19;8706.2451171875;166.9698486328125;17.369253158569336;0.041978999972343445;0.23558500409126282;0.9985349774360657;;0.0024049999192357063;0.9972900152206421;;0.2026830017566681;2.6189510822296143;0.01639699935913086;0.2400210052728653
2020-01-20;8657.642578125;167.12051391601562;17.325275421142578;0.043873000890016556;0.2332960069179535;1.0006879568099976;;0.0023739999160170555;1.000802993774414;;0.2001589983701706;2.697299003601074;0.016899000853300095;0.23785899579524994
2020-01-21;8745.89453125;169.69715881347656;18.127666473388672;0.04598899930715561;0.23716600239276886;1.0014179944992065;;0.0023759999312460423;1.002642035484314;;0.1962510049343109;2.6735498905181885;0.01716100051999092;0.24935400485992432
2020-01-22;8680.8759765625;168.29415893554688;17.79836082458496;0.04565399885177612;0.23605599999427795;1.000594973564148;;0.002322999993339181;1.001615047454834;;0.19234099984169006;2.6455819606781006;0.017086999490857124;0.24674099683761597
2020-01-23;8406.515625;162.92855834960938;17.021404266357422;0.043333999812603;0.2261040061712265;0.9984089732170105;;0.002268000040203333;1.0008790493011475;;0.18572400510311127;2.462109088897705;0.01594099961221218;0.23468899726867676
